hour,day_of_week,temperature,industrial_index,demand,lag_1,lag_24
0,1,24.45561727547482,1.1005168604336535,127.53110129033392,116.65514929045028,121.76759820806824
1,1,26.405017815222468,1.1650366745462555,131.00355562702217,127.53110129033392,130.27512708378376
2,1,26.3490064225777,0.6753712786234496,126.28998188973178,131.00355562702217,141.08926750279008
3,1,28.91123192427841,1.4144119459249598,148.1544135889889,126.28998188973178,140.21605599559481
4,1,28.729488329003384,0.9187705248920731,142.75232789118735,148.1544135889889,132.28135442617474
5,1,29.537935381652062,0.8831385282494975,142.82199428982463,142.75232789118735,146.55514848719565
6,1,29.398293387770604,1.0189177052828375,144.09986000496252,142.82199428982463,152.33785312577592
7,1,31.681907315954277,0.546965966775055,141.4156911279012,144.09986000496252,147.89116361087852
8,1,29.316629794184262,0.6662833687560794,139.78980364838645,141.4156911279012,131.50504520226332
9,1,27.47782297697684,1.2380336164263706,143.46081701340216,139.78980364838645,129.2147304624328
10,1,28.32254491210319,0.5827986679251265,128.33212104223904,143.46081701340216,125.6067139589173
11,1,25.073251575541583,1.103152109466388,125.86222709438566,128.33212104223904,145.00989607841825
12,1,25.208863595004754,0.745349109681321,117.12936839440982,125.86222709438566,117.82073346631522
13,1,21.746234650607622,0.8892956140419765,112.77451701796556,117.12936839440982,120.04286044227399
14,1,21.17181395110157,0.7886937367706999,106.28896603113928,112.77451701796556,107.27675682436076
15,1,21.66132732993639,0.8556727164649491,107.80412726834996,106.28896603113928,110.52018040852957
16,1,21.40833956107322,1.2190459051842455,113.70729296267828,107.80412726834996,111.43946689964298
17,1,20.34173914974463,0.797121715623175,103.55573261213227,113.70729296267828,112.03399058098725
18,1,19.88435171761176,1.0664046402968972,105.8852999069842,103.55573261213227,98.11455422638535
19,1,19.869267172965365,0.9760504021990997,106.05978905850064,105.8852999069842,94.0418860633057
20,1,19.191350990710383,1.1636711653626481,108.1892944952597,106.05978905850064,101.34423070260134
21,1,20.744621885672554,1.436829739324758,112.22837104691318,108.1892944952597,121.38281166086765
22,1,22.03936122904021,1.2325720972102503,115.91215822082916,112.22837104691318,122.08797869053991
23,1,24.76302700070631,0.7149403785907568,115.80440845503769,115.91215822082916,116.65514929045028
